date,PSGCEL,Barcelona,UCL,RealMadrid,NBA,Peru,F1,PSG,ChampionsLeague,NFL
2017-11-22T00:00:00+00:00,8,231,72,735,476,464,221,87,654,644
2017-11-22T01:00:00+00:00,4,234,45,530,424,524,192,60,425,574
2017-11-22T02:00:00+00:00,8,139,46,495,425,269,123,51,422,508
2017-11-22T03:00:00+00:00,2,73,40,496,435,670,218,43,459,461
2017-11-22T04:00:00+00:00,1,130,50,446,491,265,127,33,422,407
2017-11-22T05:00:00+00:00,1,82,67,395,539,332,164,59,566,307
2017-11-22T06:00:00+00:00,8,164,101,367,300,144,140,148,479,283
2017-11-22T07:00:00+00:00,33,255,70,286,353,59,269,183,435,146
2017-11-22T08:00:00+00:00,25,295,77,269,288,47,309,232,429,122
2017-11-22T09:00:00+00:00,31,363,96,258,266,92,494,208,547,216
2017-11-22T10:00:00+00:00,21,330,97,286,224,54,592,182,477,155
2017-11-22T11:00:00+00:00,56,388,81,436,289,150,540,300,447,313
2017-11-22T12:00:00+00:00,38,434,113,398,396,344,511,303,453,415
2017-11-22T13:00:00+00:00,40,383,79,521,392,136,565,214,502,607
2017-11-22T14:00:00+00:00,44,404,153,435,487,469,393,277,431,658
2017-11-22T15:00:00+00:00,43,466,247,349,510,341,363,267,585,1007
2017-11-22T16:00:00+00:00,86,319,369,526,522,222,402,326,831,739
2017-11-22T17:00:00+00:00,32,340,925,387,565,353,458,267,1683,700
2017-11-22T18:00:00+00:00,193,440,719,420,448,264,312,569,1656,793
2017-11-22T19:00:00+00:00,880,647,1077,340,583,263,302,896,2183,677
2017-11-22T20:00:00+00:00,3606,647,1433,468,500,310,275,2041,2087,674
2017-11-22T21:00:00+00:00,1710,560,1431,407,582,332,284,2366,3156,763
2017-11-22T22:00:00+00:00,1386,385,321,256,828,377,189,1584,1346,816
2017-11-22T23:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-23T00:00:00+00:00,193,124,72,325,1227,358,202,429,396,713
2017-11-23T01:00:00+00:00,146,104,40,319,1589,433,177,194,226,512
2017-11-23T02:00:00+00:00,82,75,48,176,2381,330,135,105,215,441
2017-11-23T03:00:00+00:00,57,79,49,181,1819,306,173,99,209,477
2017-11-23T04:00:00+00:00,60,71,51,287,1332,419,104,93,185,340
2017-11-23T05:00:00+00:00,113,91,78,167,992,427,163,156,246,328
2017-11-23T06:00:00+00:00,156,151,61,177,949,83,238,307,255,267
2017-11-23T07:00:00+00:00,125,230,72,179,600,78,209,350,248,238
2017-11-23T08:00:00+00:00,103,341,94,170,491,119,288,293,237,223
2017-11-23T09:00:00+00:00,147,348,78,246,357,63,542,363,184,173
2017-11-23T10:00:00+00:00,72,308,165,147,312,63,569,330,173,292
2017-11-23T11:00:00+00:00,99,347,115,139,417,71,1994,465,203,279
2017-11-23T12:00:00+00:00,76,340,76,153,400,192,1386,434,175,833
2017-11-23T13:00:00+00:00,58,287,116,125,434,126,1525,344,158,742
2017-11-23T14:00:00+00:00,46,225,84,140,586,389,1480,303,293,888
2017-11-23T15:00:00+00:00,54,280,71,134,539,345,1505,254,164,1040
2017-11-23T16:00:00+00:00,22,130,42,84,293,355,482,127,60,528
2017-11-23T17:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-23T18:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-23T19:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-23T20:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-23T21:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-23T22:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-23T23:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T00:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T01:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T02:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T03:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T04:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T05:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T06:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T07:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T08:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T09:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T10:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T11:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T12:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T13:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T14:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T15:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T16:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T17:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T18:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T19:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T20:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T21:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T22:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-24T23:00:00+00:00,17,50467,3670,12031,25727,14026,60351,18782,15412,55037
2017-11-25T00:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T01:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T02:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T03:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T04:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T05:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T06:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T07:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T08:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T09:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T10:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T11:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T12:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T13:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T14:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T15:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T16:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T17:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T18:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T19:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T20:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T21:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T22:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-25T23:00:00+00:00,0,20801,55,1750,580,1292,60511,2933,287,29700
2017-11-26T00:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T01:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T02:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T03:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T04:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T05:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T06:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T07:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T08:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T09:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T10:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T11:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T12:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T13:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T14:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T15:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T16:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T17:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T18:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T19:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T20:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T21:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-26T22:00:00+00:00,0,0,0,0,0,0,0,0,0,0
